Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 12-53-0 Soluble (Lbs),DAP 12-53-0 Soluble (Cambios),Sulfato de Potasio (Lbs),Sulfato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Usando O Calcio (Lbs),Usando O Calcio (Cambios),Ácido Bórico (Gramos),Ácido Bórico (Cambios),",@ Melaza (Lts)",",@ Melaza (Cambios)",Admin_Costo / Aplicación (Costo / Aplicación)
30,204,38723,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
31,211,38730,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
32,218,38737,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
33,225,38744,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
34,232,38751,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
35,239,38758,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
36,246,38765,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
37,253,38772,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
38,260,38779,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
39,267,38786,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
40,274,38793,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
41,281,38800,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
42,288,38807,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
43,295,38814,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
44,302,38821,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
45,309,38828,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
46,316,38835,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
47,323,38842,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
48,330,38849,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
49,337,38856,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
50,344,38863,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,,,281.62627303279226
51,351,38870,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,8.097165991902834,,293.3671637210514
52,358,38877,,4.251863526572565,,2.360772668008907,,7.8556997651609315,,4.469865009746589,,0.00014367423245614035,,80.18061178587494,,,,281.62627303279226
