Semana (Semana),DDT (DDT),FECHA,Seleccioné su opción (Preventivos),Preventivos (Dosis),Preventivos (Unidades),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Admin_Costo / Aplicación (Costo / Aplicación)
34,232,40158,,0.0,0,92.19515081491251,,41.26840869565217,,111.72116666666665,,71.70441692043698,,0.0039906376192899995,,0.536506915,,301.0,2794.9599925866623
35,239,40165,,0.0,0,92.19515081491251,,41.26840869565217,,111.72116666666665,,71.70441692043698,,0.0039906376192899995,,0.536506915,,301.0,2794.9599925866623
36,246,40172,,0.0,0,92.19515081491251,,41.26840869565217,,111.72116666666665,,71.70441692043698,,0.0039906376192899995,,0.536506915,,301.0,2794.9599925866623
37,253,40179,0,0.0,0,92.19515081491251,,41.26840869565217,,111.72116666666665,,71.70441692043698,,0.0039906376192899995,,0.536506915,,301.0,2794.9599925866623
38,260,40186,,0.0,0,92.19515081491251,,41.26840869565217,,111.72116666666665,,71.70441692043698,,0.0039906376192899995,,0.536506915,,301.0,2794.9599925866623
39,267,40193,,0.0,0,92.19515081491251,,41.26840869565217,,111.72116666666665,,71.70441692043698,,0.0039906376192899995,,0.536506915,,301.0,2794.9599925866623
40,274,40200,,0.0,0,97.86385449521727,,41.26840869565217,,117.56658666666665,,75.45610019819598,,0.0041994338004304,,0.536506915,,301.0,2883.920224607112
41,281,40207,0,0.0,0,97.86385449521727,,41.26840869565217,,117.56658666666665,,75.45610019819598,,0.0041994338004304,,0.536506915,,301.0,2883.920224607112
42,288,40214,,0.0,0,97.86385449521727,,41.26840869565217,,117.56658666666665,,75.45610019819598,,0.0041994338004304,,0.536506915,,301.0,2883.920224607112
43,295,40221,,0.0,0,97.86385449521727,,41.26840869565217,,117.56658666666665,,75.45610019819598,,0.0041994338004304,,0.536506915,,301.0,2883.920224607112
44,302,40228,,0.0,0,97.86385449521727,,41.26840869565217,,117.56658666666665,,75.45610019819598,,0.0041994338004304,,0.536506915,,301.0,2883.920224607112
45,309,40235,0,0.0,0,97.86385449521727,,41.26840869565217,,117.56658666666665,,75.45610019819598,,0.0041994338004304,,0.536506915,,301.0,2883.920224607112
46,316,40242,,0.0,0,97.86385449521727,,41.26840869565217,,117.56658666666665,,75.45610019819598,,0.0041994338004304,,0.536506915,,301.0,2883.920224607112
47,323,40249,,0.0,0,52.258909596941315,,41.26840869565217,,117.56658666666665,,75.45610019819598,,0.0041994338004304,,0.536506915,,301.0,2653.615252870818
48,330,40256,,0.0,0,52.258909596941315,,41.26840869565217,,117.56658666666665,,75.45610019819598,,0.0041994338004304,,0.536506915,,301.0,2653.615252870818
49,337,40263,0,0.0,0,62.500875570476296,,15.09449565217391,,117.56658666666665,,75.45610019819598,,0.0041994338004304,,0.536506915,,301.0,2493.851963645865
50,344,40270,,0.0,0,62.500875570476296,,15.09449565217391,,117.56658666666665,,75.45610019819598,,0.0041994338004304,,0.536506915,,301.0,2493.851963645865
51,351,40277,,0.0,0,62.500875570476296,,15.09449565217391,,117.56658666666665,,75.45610019819598,,0.0041994338004304,,0.536506915,,301.0,2493.851963645865
52,358,40284,,0.0,0,62.500875570476296,,15.09449565217391,,117.56658666666665,,75.45610019819598,,0.0041994338004304,,0.536506915,,,1651.0519636458653
