Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
26,176,39990,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
27,183,39997,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
28,190,40004,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
29,197,40011,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
30,204,40018,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
31,211,40025,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
32,218,40032,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
33,225,40039,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
34,232,40046,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
35,239,40053,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
36,246,40060,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
37,253,40067,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
38,260,40074,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
39,267,40081,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
40,274,40088,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
41,281,40095,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
42,288,40102,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
43,295,40109,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
44,302,40116,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
45,309,40123,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
46,316,40130,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
47,323,40137,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
48,330,40144,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
49,337,40151,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
50,344,40158,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,,,264.9544679822233
51,351,40165,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,,321.0104679822233
52,358,40172,,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,,,264.9544679822233
