Fase,Día después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación K:Mg (1:0.5) (K2O/1.17)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O
6.0,46.0,7,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,17.3149,2.2016526190476196,0.2496916666666667,0.17644423452442554
,47.0,7,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,17.3149,2.2016526190476196,0.2496916666666667,0.17644423452442554
,48.0,7,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,23.426,2.2016526190476196,0.2496916666666667,0.17644423452442554
,49.0,7,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,23.426,2.2016526190476196,0.2496916666666667,0.17644423452442554
,50.0,8,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,23.426,2.2016526190476196,0.2496916666666667,0.17644423452442554
,51.0,8,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,23.426,2.2016526190476196,0.2496916666666667,0.17644423452442554
,52.0,8,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,23.426,2.2016526190476196,0.2496916666666667,0.17644423452442554
,53.0,8,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,23.426,2.2016526190476196,0.2496916666666667,0.17644423452442554
,54.0,8,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,23.426,2.2016526190476196,0.2496916666666667,0.17644423452442554
,55.0,8,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,23.426,2.2016526190476196,0.2496916666666667,0.17644423452442554
,56.0,8,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,23.426,2.2016526190476196,0.2496916666666667,0.17644423452442554
,57.0,9,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,23.426,2.2016526190476196,0.2496916666666667,0.17644423452442554
,58.0,9,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,23.426,2.2016526190476196,0.2496916666666667,0.17644423452442554
,59.0,9,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,23.426,2.2016526190476196,0.2496916666666667,0.17644423452442554
,60.0,9,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,23.426,2.2016526190476196,0.2496916666666667,0.17644423452442554
,61.0,9,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,23.426,2.2016526190476196,0.2496916666666667,0.17644423452442554
,62.0,9,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,23.426,2.2016526190476196,0.2496916666666667,0.17644423452442554
,63.0,9,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,29.5372,2.2016526190476196,0.2496916666666667,0.17644423452442554
,64.0,10,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,29.5372,2.2016526190476196,0.2496916666666667,0.17644423452442554
6.0,65.0,10,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,29.5372,2.2016526190476196,0.2496916666666667,0.17644423452442554
7.0,66.0,10,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,29.5372,2.2016526190476196,0.2496916666666667,0.17644423452442554
,67.0,10,2.021494804570313,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,29.5372,2.2016526190476196,0.2496916666666667,0.17644423452442554
,68.0,10,1.8836656133496097,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,29.5372,2.0515399404761903,0.2496916666666667,0.17644423452442554
,69.0,10,1.8836656133496097,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,29.5372,2.0515399404761903,0.2496916666666667,0.17644423452442554
,70.0,10,1.8836656133496097,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,29.5372,2.0515399404761903,0.2496916666666667,0.17644423452442554
,71.0,11,1.8836656133496097,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,29.5372,2.0515399404761903,0.2496916666666667,0.17644423452442554
,72.0,11,1.8836656133496097,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,29.5372,2.0515399404761903,0.2496916666666667,0.17644423452442554
,73.0,11,1.8836656133496097,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,29.5372,2.0515399404761903,0.2496916666666667,0.17644423452442554
,74.0,11,1.8836656133496097,2.7984527454,3.0873738833437505,0.6596952742187502,0.6486079586856619,29.5372,2.0515399404761903,0.2496916666666667,0.17644423452442554
,75.0,11,2.2453628242500003,2.7984527454,3.9707468892000004,0.8484501900000001,0.8341905229411766,29.5372,1.901427261904762,0.2496916666666667,0.17644423452442554
