Fase,Día Después Siembra,Semana,N,P2O5,K20,MgO,CaO,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O,Columna_12,Mayo - Oct a Dic 122 dias de crecimiento y maduracion,Mayo - Oct a Dic 122 dias de crecimiento y maduracion,25,vivero sep a mayo,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21,Columna_22
,40.0,6,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,17.3149,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,41.0,6,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,17.3149,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,42.0,6,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,17.3149,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,43.0,7,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,17.3149,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,44.0,7,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,17.3149,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,45.0,7,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,17.3149,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,46.0,7,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,17.3149,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,47.0,7,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,17.3149,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,48.0,7,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,23.426,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,49.0,7,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,23.426,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,50.0,8,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,23.426,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,51.0,8,2,0.45,1.681262,0.28774949873834765,1.000900662674,23.426,4,0.4,0.49999999999999994,,,,,,,,,,,
,52.0,8,2,0.45,1.681262,0.28774949873834765,1.000900662674,23.426,4,0.4,0.49999999999999994,,,,,,,,,,,
,53.0,8,2,0.45,1.681262,0.28774949873834765,1.000900662674,23.426,4,0.4,0.49999999999999994,,,,,,,,,,,
,54.0,8,2,0.45,1.681262,0.28774949873834765,1.000900662674,23.426,4,0.4,0.49999999999999994,,,,,,,,,,,
,55.0,8,2,0.45,1.681262,0.28774949873834765,1.000900662674,23.426,4,0.4,0.49999999999999994,,,,,,,,,,,
,56.0,8,2,0.45,1.681262,0.28774949873834765,1.000900662674,23.426,4,0.4,0.49999999999999994,,,,,,,,,,,
,57.0,9,2,0.45,1.681262,0.28774949873834765,1.000900662674,23.426,4,0.4,0.49999999999999994,,,,,,,,,,,
,58.0,9,2,0.45,1.681262,0.28774949873834765,1.000900662674,23.426,4,0.4,0.49999999999999994,,,,,,,,,,,
,59.0,9,2,0.45,1.681262,0.28774949873834765,1.000900662674,23.426,4,0.4,0.49999999999999994,,,,,,,,,,,
,60.0,9,2,0.45,1.681262,0.28774949873834765,1.000900662674,23.426,4,0.4,0.49999999999999994,,,,,,,,,,,
,61.0,9,2,0.45,1.681262,0.28774949873834765,1.000900662674,23.426,4,0.4,0.49999999999999994,,,,,,,,,,,
,62.0,9,2,0.45,1.681262,0.28774949873834765,1.000900662674,23.426,4,0.4,0.49999999999999994,,,,,,,,,,,
,63.0,9,2,0.45,1.681262,0.28774949873834765,1.000900662674,29.5372,4,0.4,0.49999999999999994,,,,,,,,,,,
,64.0,10,2,0.45,1.681262,0.28774949873834765,1.000900662674,29.5372,4,0.4,0.49999999999999994,,,,,,,,,,,
,65.0,10,2,0.45,1.681262,0.28774949873834765,1.000900662674,29.5372,4,0.4,0.49999999999999994,,,,,,,,,,,
,66.0,10,2,0.45,1.681262,0.28774949873834765,1.000900662674,29.5372,4,0.4,0.49999999999999994,,,,,,,,,,,
,67.0,10,2,0.45,1.681262,0.28774949873834765,1.000900662674,29.5372,4,0.4,0.49999999999999994,,,,,,,,,,,
