Fase,Día Después Siembra,Semana,N,P2O5,K20,MgO,CaO,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O,Columna_12,Columna_13,Kilos/Ha,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21,Columna_22,Columna_23,Columna_24,Columna_25
,87.0,13,2.0714285714285716,0.21428571428571427,2.5714285714285716,0.44010230557166996,1.5308408571428573,35.6483,2.7086998888888894,0.4,0.5,,235,15,242,20,18,,,,2.0714285714285716,0.21428571428571427,2.5714285714285716,-0.2857142857142857,-0.6428571428571429
,88.0,13,5.722222222222222,0.5555555555555556,11,1.8826598627232547,6.548597000000001,35.6483,1.749191777777778,0.4,0.5,,180,13,240,20,17,,,,5.722222222222222,0.5555555555555556,11,0.8888888888888888,0.9444444444444444
,89.0,13,5.722222222222222,0.5555555555555556,11,1.8826598627232547,6.548597000000001,35.6483,1.749191777777778,0.4,0.5,,280,19,325,22,20,,,,5.722222222222222,0.5555555555555556,11,0.8888888888888888,0.9444444444444444
,90.0,13,5.722222222222222,0.5555555555555556,11,1.8826598627232547,6.548597000000001,35.6483,1.749191777777778,0.4,0.5,,,,,,,,,,5.722222222222222,0.5555555555555556,11,0.8888888888888888,0.9444444444444444
,91.0,13,5.722222222222222,0.5555555555555556,11,1.8826598627232547,6.548597000000001,35.6483,1.749191777777778,0.4,0.5,,,,,,,,,,5.722222222222222,0.5555555555555556,11,0.8888888888888888,0.9444444444444444
,92.0,14,5.722222222222222,0.5555555555555556,11,1.8826598627232547,6.548597000000001,35.6483,1.749191777777778,0.4,0.5,,,,,,,,,,5.722222222222222,0.5555555555555556,11,0.8888888888888888,0.9444444444444444
,93.0,14,5.722222222222222,0.5555555555555556,11,1.8826598627232547,6.548597000000001,35.6483,1.749191777777778,0.4,0.5,,,,,,,,,,5.722222222222222,0.5555555555555556,11,0.8888888888888888,0.9444444444444444
,94.0,14,5.722222222222222,0.5555555555555556,11,1.8826598627232547,6.548597000000001,35.6483,1.749191777777778,0.4,0.5,,,,,,,,,,5.722222222222222,0.5555555555555556,11,0.8888888888888888,0.9444444444444444
,95.0,14,5.722222222222222,0.5555555555555556,11,1.8826598627232547,6.548597000000001,35.6483,1.749191777777778,0.4,0.5,,,,,,,,,,5.722222222222222,0.5555555555555556,11,0.8888888888888888,0.9444444444444444
,96.0,14,5.722222222222222,0.5555555555555556,11,1.8826598627232547,6.548597000000001,35.6483,1.749191777777778,0.4,0.5,,,,,,,,,,5.722222222222222,0.5555555555555556,11,0.8888888888888888,0.9444444444444444
,97.0,14,5.722222222222222,0.5555555555555556,11,1.8826598627232547,6.548597000000001,35.6483,1.749191777777778,0.4,0.5,,,,,,,,,,5.722222222222222,0.5555555555555556,11,0.8888888888888888,0.9444444444444444
,98.0,14,5.722222222222222,0.5555555555555556,11,1.8826598627232547,6.548597000000001,35.6483,1.749191777777778,0.4,0.5,,,,,,,,,,5.722222222222222,0.5555555555555556,11,0.8888888888888888,0.9444444444444444
,99.0,15,5.722222222222222,0.5555555555555556,11,1.8826598627232547,6.548597000000001,35.6483,1.749191777777778,0.4,0.5,,,,,,,,,,5.722222222222222,0.5555555555555556,11,0.8888888888888888,0.9444444444444444
,100.0,15,5.722222222222222,0.5555555555555556,11,1.8826598627232547,6.548597000000001,35.6483,1.749191777777778,0.4,0.5,,,,,,,,,,5.722222222222222,0.5555555555555556,11,0.8888888888888888,0.9444444444444444
,101.0,15,5.722222222222222,0.5555555555555556,11,1.8826598627232547,6.548597000000001,35.6483,1.749191777777778,0.4,0.5,,,,,,,,,,5.722222222222222,0.5555555555555556,11,0.8888888888888888,0.9444444444444444
