Semana,N,Nitrato de Amonio,P2O5,FofatoMonoPotasico,K2O,Kcl Soluble,MgO,Sulfato de Magnesio,Ca,Nitrato de Calcio,B,Solubor
33,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
34,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
35,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
36,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
37,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
38,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
39,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
40,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
41,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
42,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
43,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
44,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
45,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
46,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
47,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
48,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
49,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
50,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
51,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
52,6.055500121787969,7.433523368878695,3.6358676466946593,6.992053166720498,10.432031408573925,13.424555553148261,1.7854515290536785,11.15907205658549,6.210469962372089,23.001740601378106,35.6483,173.89414634146343
