Columna_0,N,Columna_2,P2O5,Columna_4,K2O,Columna_6,MgO,Columna_8,Ca,Columna_10,B,Columna_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21
,2.0,5.970149253731343,0.45,0.8653846153846154,1.681262,2.311718717948718,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,29.5372,144.0839024390244,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,1.681262,2.420693076923077,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,29.5372,144.0839024390244,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,1.681262,2.420693076923077,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,29.5372,144.0839024390244,,,,,,,,,
12,2.0,5.970149253731343,0.35,0.673076923076923,1.681262,2.420693076923077,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,29.5372,144.0839024390244,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,1.681262,2.420693076923077,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,29.5372,144.0839024390244,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,1.681262,2.420693076923077,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,29.5372,144.0839024390244,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,1.681262,2.420693076923077,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,1.681262,2.420693076923077,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,1.681262,2.420693076923077,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,1.681262,2.420693076923077,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,35.6483,173.89414634146343,,,,,,,,,
13,2.0,5.970149253731343,0.35,0.673076923076923,1.681262,2.420693076923077,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,1.681262,2.420693076923077,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,1.681262,2.420693076923077,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,1.681262,2.420693076923077,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,1.681262,2.420693076923077,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,1.681262,2.420693076923077,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,1.681262,2.420693076923077,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,35.6483,173.89414634146343,,,,,,,,,
14,2.0,5.970149253731343,0.35,0.673076923076923,1.681262,2.420693076923077,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,1.681262,2.420693076923077,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,1.681262,2.420693076923077,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,1.681262,2.420693076923077,0.28774949873834765,1.7984343671146727,1.000900662674,0.0001000900662674,35.6483,173.89414634146343,,,,,,,,,
