Fase,Día después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.3),Relación Ca:Mg (1:0.5) CaO/(Mg/1.14175),Relación K:Ca (1:1) CaO/(K2O/2.29)
,13.0,2,1.384114313551536,0.706397142786391,2.217551819422572,0.4037692918518519,0.8111436666666667,9.1667,2.0410137727884354,0.293146953405018,0.36578341013824894
,14.0,2,1.384114313551536,0.706397142786391,2.217551819422572,0.4037692918518519,0.8111436666666667,9.1667,2.0410137727884354,0.293146953405018,0.36578341013824894
1.0,15.0,3,1.384114313551536,0.706397142786391,2.217551819422572,0.4037692918518519,0.8111436666666667,9.1667,2.0410137727884354,0.293146953405018,0.36578341013824894
2.0,16.0,3,1.384114313551536,0.706397142786391,2.217551819422572,0.4037692918518519,0.8111436666666667,9.1667,2.0410137727884354,0.293146953405018,0.36578341013824894
,17.0,3,1.384114313551536,0.706397142786391,2.217551819422572,0.4037692918518519,0.8111436666666667,9.1667,2.0410137727884354,0.293146953405018,0.36578341013824894
,18.0,3,1.903157181133362,0.9712960713312876,3.0491337517060364,0.5551827762962963,1.1153225416666668,12.2222,2.0410137727884354,0.293146953405018,0.36578341013824894
,19.0,3,1.903157181133362,0.9712960713312876,3.0491337517060364,0.5551827762962963,1.1153225416666668,12.2222,2.0410137727884354,0.293146953405018,0.36578341013824894
,20.0,3,1.903157181133362,0.9712960713312876,3.0491337517060364,0.5551827762962963,1.1153225416666668,12.2222,2.0410137727884354,0.293146953405018,0.36578341013824894
,21.0,3,1.903157181133362,0.9712960713312876,3.0491337517060364,0.5551827762962963,1.1153225416666668,12.2222,2.0410137727884354,0.293146953405018,0.36578341013824894
,22.0,4,1.903157181133362,0.9712960713312876,3.0491337517060364,0.5551827762962963,1.1153225416666668,12.2222,2.0410137727884354,0.293146953405018,0.36578341013824894
,23.0,4,1.903157181133362,0.9712960713312876,3.0491337517060364,0.5551827762962963,1.1153225416666668,12.2222,2.0410137727884354,0.293146953405018,0.36578341013824894
,24.0,4,1.903157181133362,0.9712960713312876,3.0491337517060364,0.5551827762962963,1.1153225416666668,12.2222,2.0410137727884354,0.293146953405018,0.36578341013824894
2.0,25.0,4,1.903157181133362,0.9712960713312876,3.0491337517060364,0.5551827762962963,1.1153225416666668,12.2222,2.0410137727884354,0.293146953405018,0.36578341013824894
3.0,26.0,4,1.903157181133362,0.9712960713312876,3.0491337517060364,0.5551827762962963,1.1153225416666668,12.2222,2.0410137727884354,0.293146953405018,0.36578341013824894
,27.0,4,1.903157181133362,0.9712960713312876,3.0491337517060364,0.5551827762962963,1.1153225416666668,12.2222,2.0410137727884354,0.293146953405018,0.36578341013824894
,28.0,4,1.903157181133362,0.9712960713312876,3.0491337517060364,0.5551827762962963,1.1153225416666668,12.2222,2.0410137727884354,0.293146953405018,0.36578341013824894
,29.0,5,1.903157181133362,0.9712960713312876,3.0491337517060364,0.5551827762962963,1.1153225416666668,12.2222,2.0410137727884354,0.293146953405018,0.36578341013824894
3.0,30.0,5,1.903157181133362,0.9712960713312876,3.0491337517060364,0.5551827762962963,1.1153225416666668,12.2222,2.0410137727884354,0.293146953405018,0.36578341013824894
4.0,31.0,5,1.903157181133362,0.9712960713312876,3.0491337517060364,0.5551827762962963,1.1153225416666668,12.2222,2.0410137727884354,0.293146953405018,0.36578341013824894
,32.0,5,1.903157181133362,0.9712960713312876,3.0491337517060364,0.5551827762962963,1.1153225416666668,12.2222,2.0410137727884354,0.293146953405018,0.36578341013824894
,33.0,5,2.9412429162970137,1.501093928421081,4.7122976162729655,0.8580097451851851,1.7236802916666667,17.3149,2.041013772788435,0.29314695340501795,0.3657834101382489
,34.0,5,2.9412429162970137,1.501093928421081,4.7122976162729655,0.8580097451851851,1.7236802916666667,17.3149,2.041013772788435,0.29314695340501795,0.3657834101382489
4.0,35.0,5,2.9412429162970137,1.501093928421081,4.7122976162729655,0.8580097451851851,1.7236802916666667,17.3149,2.041013772788435,0.29314695340501795,0.3657834101382489
5.0,36.0,6,2.9412429162970137,1.501093928421081,4.7122976162729655,0.8580097451851851,1.7236802916666667,17.3149,2.041013772788435,0.29314695340501795,0.3657834101382489
,37.0,6,2.9412429162970137,1.501093928421081,4.7122976162729655,0.8580097451851851,1.7236802916666667,17.3149,2.041013772788435,0.29314695340501795,0.3657834101382489
,38.0,6,2.9412429162970137,1.501093928421081,4.7122976162729655,0.8580097451851851,1.7236802916666667,17.3149,2.041013772788435,0.29314695340501795,0.3657834101382489
,39.0,6,2.9412429162970137,1.501093928421081,4.7122976162729655,0.8580097451851851,1.7236802916666667,17.3149,2.041013772788435,0.29314695340501795,0.3657834101382489
,40.0,6,2.9412429162970137,1.501093928421081,4.7122976162729655,0.8580097451851851,1.7236802916666667,17.3149,2.041013772788435,0.29314695340501795,0.3657834101382489
,41.0,6,2.9412429162970137,1.501093928421081,4.7122976162729655,0.8580097451851851,1.7236802916666667,17.3149,2.041013772788435,0.29314695340501795,0.3657834101382489
