Semana (Semana),DDT (DDT),FECHA,Seleccioné su opción (Preventivos),Preventivos (Dosis),Preventivos (Unidades),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Admin_Costo / Aplicación (Costo / Aplicación)
41,283,40209,,0.0,0,342.5234907332604,,144.4394304347826,,411.4830533333334,,264.0963506936859,,0.014698018301506398,,1.8777742024999997,,301.0,7986.72078612489
42,290,40216,,0.0,0,342.5234907332604,,144.4394304347826,,411.4830533333334,,264.0963506936859,,0.014698018301506398,,1.8777742024999997,,301.0,7986.72078612489
43,297,40223,,0.0,0,342.5234907332604,,144.4394304347826,,411.4830533333334,,264.0963506936859,,0.014698018301506398,,1.8777742024999997,,301.0,7986.72078612489
44,304,40230,,0.0,0,342.5234907332604,,144.4394304347826,,411.4830533333334,,264.0963506936859,,0.014698018301506398,,1.8777742024999997,,301.0,7986.72078612489
45,311,40237,,0.0,0,342.5234907332604,,144.4394304347826,,411.4830533333334,,264.0963506936859,,0.014698018301506398,,1.8777742024999997,,301.0,7986.72078612489
46,318,40244,,0.0,0,342.5234907332604,,144.4394304347826,,411.4830533333334,,264.0963506936859,,0.014698018301506398,,1.8777742024999997,,301.0,7986.72078612489
47,325,40251,,0.0,0,182.90618358929464,,144.4394304347826,,411.4830533333334,,264.0963506936859,,0.014698018301506398,,1.8777742024999997,,301.0,7180.653385047864
48,332,40258,,0.0,0,213.6320815098995,,65.91769130434781,,411.4830533333334,,264.0963506936859,,0.014698018301506398,,1.8777742024999997,,301.0,6701.363517373005
49,339,40265,,0.0,0,218.753064496667,,52.83073478260869,,411.4830533333334,,264.0963506936859,,0.014698018301506398,,1.8777742024999997,,301.0,6621.481872760529
50,346,40272,,0.0,0,218.753064496667,,52.83073478260869,,411.4830533333334,,264.0963506936859,,0.014698018301506398,,1.8777742024999997,,301.0,6621.481872760529
51,353,40279,,0.0,0,218.753064496667,,52.83073478260869,,411.4830533333334,,264.0963506936859,,0.014698018301506398,,1.8777742024999997,,301.0,6621.481872760529
52,360,40286,,0.0,0,218.753064496667,,52.83073478260869,,411.4830533333334,,264.0963506936859,,0.014698018301506398,,1.8777742024999997,,301.0,6621.481872760529
