Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
22,148,39596,,1.6696265173819362,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,129.55927038151603
23,155,39603,,1.6696265173819362,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,129.55927038151603
24,162,39610,,1.6696265173819362,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,129.55927038151603
25,169,39617,,1.3509098121002627,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,128.26846772512528
26,176,39624,,1.3509098121002627,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,128.26846772512528
27,183,39631,,1.3509098121002627,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,128.26846772512528
28,190,39638,,0.8728347541777537,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,126.33226374053909
29,197,39645,,0.8728347541777537,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,126.33226374053909
30,204,39652,,0.8728347541777537,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,126.33226374053909
31,211,39659,,0.8728347541777537,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,126.33226374053909
