Semana,N,Nitrato de Amonio,P2O5,MAP 12-61-0,K2O,Kcl Soluble,MgO,Sulfato de Magnesio,Ca,Nitrato de Calcio,B,Solubor
32,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
33,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
34,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
35,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
36,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
37,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
38,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
39,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
40,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
41,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
42,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
43,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
44,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
45,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
46,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
47,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
48,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
49,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
50,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
51,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
52,2.3557562009451303,0.3119772191938496,1.450569533850129,2.3779828423772607,5.752210787555554,9.587017979259256,1.230620042233473,7.691375263959206,3.4244463915230856,12.683134783418835,27.805674,135.63743414634146
