Requerimientos Semanal para:,Columna_1,Columna_2,Columna_3,Columna_4,Piña,Piña_1,Piña_2,Piña_3,Piña_4,Piña_5,Columna_11,Columna_12
33,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
34,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
35,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
36,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
37,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
38,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
39,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
40,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
41,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
42,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
43,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
44,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
45,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
46,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
47,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
48,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
49,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
50,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
51,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
52,21.141401803353734,0,13.01793171403962,21.340871662360033,60.732240592592575,116.79277037037033,14.682519703703704,91.76574814814815,32.366027387387376,119.87417550884213,249.53810000000001,1217.2590243902441
